category,method,path,controller,action,status,new_backend_equiv_or_note
7-AGENT,GET,/viewOrder/:cartId,agentcashinoutController,orderDetailsPage,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/game/check-bingo,agentcashinoutController,agentGameCheckBingo,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/game/physical/cash-out,agentcashinoutController,agentphysicalTicketCashout,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/game/physical/add-to-wallet,agentcashinoutController,agentphysicalTicketAddToWallet,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/game/completed,agentcashinoutController,getAgentCompletedGames,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/physical/sell/:gameId,agentcashinoutController,sellagentTicketView,AGENT-DOMENE,BIN-583
5-WALLET,POST,/agent/physical/sell,physicalTicketsController,addPhysicalTicketsPost,MANGLER,Physical ticket admin missing
7-AGENT,GET,/agent/game/hall-status,agentcashinoutController,getGameHallStatus,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/game/update-hall-status,agentcashinoutController,updateGameHallStatus,AGENT-DOMENE,BIN-583
2-PLAYER,POST,/updatePlayerLanguageIfnotexist,PlayerController,updatePlayerLanguageIfnotexist,MANGLER,Player admin action missing
7-AGENT,GET,/agent/upcoming-game/get,agentcashinoutController,getUpcomingGames,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/upcoming-game/stop,agentcashinoutController,stopUpcomingGame,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/upcoming-game/resume,agentcashinoutController,resumeUpcomingGame,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/upcoming-game/check-resume-eligibility,agentcashinoutController,checkResumeAligibility,AGENT-DOMENE,BIN-583
4-HALL,GET,/report/settlement/:id,hallController,individualSettlementView,TODO,
4-HALL,GET,/report/settlement,hallController,getIndividualSettlement,MANGLER,Hall settlement/account report missing
7-AGENT,POST,/agent/settlement/edit,agentcashinoutController,editSettlement,AGENT-DOMENE,BIN-583
4-HALL,GET,/tv/:id,scheduleController,redirectToTVScreen,TODO,
7-AGENT,POST,/agent/metronia/check-connect,machineApiController,checkConnectMetronia,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/metronia/create-ticket,machineApiController,createTicketMetronia,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/metronia/get-balance,machineApiController,getBalanceMetronia,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/metronia/add-balance,machineApiController,addBalanceMetronia,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/metronia/close-ticket,machineApiController,closeTicketMetronia,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/metronia/close-all-tickets,machineApiController,closeAllTicketMetronia,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/create-ticket,machineApiController,createTicketOfMachines,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/add-balance,machineApiController,addBalanceToMachineTickets,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/get-balance,machineApiController,getBalanceOfMachineTickets,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/close-ticket,machineApiController,closeTicketOfMachine,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/close-all-tickets,machineApiController,closeAllTicketOfMachine,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/okbingo/close-all-tickets,machineApiController,closeAllTicketOfOKBingo,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/get-numbers-today,machineApiController,getNumbersOfToday,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/okbingo/open-day,machineApiController,openDayOkBingo,AGENT-DOMENE,BIN-583
2-PLAYER,GET,/player/bankid/redirect,PlayerController,verifyPlayerBankId,TODO,
2-PLAYER,GET,/player/bankId/iframe/:id,PlayerController,bankIdIframe,TODO,
2-PLAYER,POST,/player/bankid/goback,PlayerController,goBacktoAppFromBankId,MANGLER,Player admin action missing
2-PLAYER,POST,/player/profile/image/update,PlayerController,updateProfileImages,MANGLER,Player admin action missing
2-PLAYER,POST,/player/verify/update,PlayerController,verifyPlayer,MANGLER,Player admin action missing
2-PLAYER,POST,/player/approved/update-flag,PlayerController,updateIfPlayerAlreadyApproved,MANGLER,Pending-registration approval flow missing
2-PLAYER,GET,/players/track-spending,PlayerController,trackSpendingView,TODO,
2-PLAYER,GET,/players/track-spending/get,PlayerController,getTrackSpendingData,MANGLER,Player pending/rejected queue missing in new admin
2-PLAYER,GET,/players/track-spending/transactions/:id,PlayerController,trackSpendingTxView,TODO,
2-PLAYER,GET,/players/track-spending/transactions/get/:id,PlayerController,getTrackSpendingTxData,MANGLER,Player pending/rejected queue missing in new admin
3-GAMEPLAY,POST,/game1/purchaseTickets,GameController,purchaseTickets,TODO,Review game action
3-GAMEPLAY,GET,/sms-advertisement,advertisementController,view,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,GET,/sms-advertisement/search-players,advertisementController,searchPlayers,TODO,
3-GAMEPLAY,POST,/sms-advertisement/send-sms-notification,advertisementController,sendSmsNotification,MANGLER,SMS advertisement missing
5-WALLET,GET,/notifications/count/hall/:hallId,transactionController,getNotificationsCount,EXISTS,/api/notifications covers
5-WALLET,POST,/api/games/candy/launch,Integration,candyLaunch,EXISTS,Candy launch + ext-wallet present
5-WALLET,GET,/api/ext-wallet/balance,Integration,extWalletBalance,TODO,
5-WALLET,POST,/api/ext-wallet/debit,Integration,extWalletDebit,EXISTS,Candy launch + ext-wallet present
5-WALLET,POST,/api/ext-wallet/credit,Integration,extWalletCredit,EXISTS,Candy launch + ext-wallet present
5-WALLET,GET,/api/ext-wallet/diag,Integration,extWalletDiag,TODO,
1-AUTH,GET,/Payment,Frontend,paymentPage,TODO,
1-AUTH,GET,/resetPassword/:token,Frontend,resetPassword,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/resetPassword/:token,Frontend,postResetPassword,EXISTS,Reset-password covered by /api/auth/forgot-password
1-AUTH,GET,/player/reset-password/:token,Frontend,playerResetPassword,TODO,
1-AUTH,POST,/player/reset-password/:token,Frontend,postPlayerResetPassword,EXISTS,Reset-password covered by /api/auth/forgot-password
